description	level_1
K-013 強固型掀蓋整理箱[385*261*98mm]	居家傢俱
【福松】四川薄鹽辣腐乳130g(X)	泡麵罐頭
熟成紐約客250g*2	餐飲消費
RIMIX 放大鏡片 放大片 含保護卡套 隨身放大鏡片 放大約3倍 超輕薄 易收納 功能3合1 量尺 書籤 放大鏡	3C電子/配件
茉香綠奶茶 L	飲料沖泡
日月潭紅玉/冰	餐飲消費
Reebok 休閒鞋 InstaPump Fury 運動 男鞋 經典款 襪套 充氣科技 舒適 穿搭	戶外休閒
醫卡低週波專用傳導貼片含粘著貼片2入	3C電子/配件
日本Laundrin'<朗德林>香水柔軟精-浪漫花香600ml	居家清潔
6吋湯碗	鍋具.廚具.濾水
304面盆-尺3	生活百貨
金萱綠茶無堂	飲料沖泡
三角展示架【MA044】NO135手機支架 陳列架 成品展示架 手機座 相片架 照片架 菜單架 圖片架《八八八e網購	3C電子/配件
雙層浴室紙巾收納盒	鍋具.廚具.濾水
*熱.女兒紅鮮奶茶	餐飲消費
代收-天藍小舖-率性小牛角皮革肩背/側背包-共4色-$399【A17174057】	其他消費
雙人兌換票	餐飲消費
【滿意寶寶】瞬潔乾爽輕巧褲 XXL26片X3包/增量3片(褲型)	嬰幼兒與孕婦
牛角六入Sale$100	其他消費
飲料優惠	飲料沖泡
HAC綜合B群口含錠120錠	食品雜貨
代收代付 - 物流服務費（宅配到府）	交通
紫地瓜薯條	餐飲消費
長承招牌三寶飯	餐飲消費
美式咖啡(大杯)	餐飲消費
整理箱滑輪M-蓋	鍋具.廚具.濾水
均衡早餐盤	餐飲消費
純棉網眼防蚊褲-綠色素面 (100cm)	服飾與配件精品
13277-231-061-06- 查理布朗短袖T恤	服飾與配件精品
樂天小熊餅牛奶３３Ｇ	零食點心
開元原味焙果90g(切半)	生鮮冷藏
【理膚寶水】一日限定★多容安舒緩保濕化妝水 買800送800超值組(6折/修護保濕)	美容沐浴
燒肉撈麵	泡麵罐頭
【成長天地】兒童書桌椅 80cm桌面 可升降桌椅 成長桌椅 兒童桌椅(ME101+AU100)	傢俱寢飾
【FastWhite齒速白】護齒凝膠筆強化琺瑯質對抗敏感(非抗敏感牙膏)	美容沐浴
哥布林殺手（02）	居家清潔
Eyeshadow Brush [contouring]	3C電子/配件
獅王 TOP 柔軟洗衣精Sweet Harmony 陽光玫瑰 720g	居家清潔
磁吸式汽車前擋遮陽罩	交通
E0082	生活百貨
Panasonic 國際牌 奈米水離子吹風機 EH-NA9B-RP -(免運)	小家電專區
wasabi 甜點叉匙組合	鍋具.廚具.濾水
布扇袋(束口) 紅樓春曉 39x7.3cm 特價50元	其他消費
日本水蜜桃汽水	飲料沖泡
經驗出智慧: 黎智英扭轉乾…	零食點心
345096@三記魚餃/盒	冷凍食品
GUCCI-古馳-服飾配件禮卷	季節飾品
馬桶水箱進水器	生活百貨
冰馥列白V	餐飲消費
太陽農場蓮子600g	食品雜貨
旺旺媽媽罐小饅頭	零食點心
KB寵物鼠綜合營養主食 1000g/包[1000g/包]	寵物
靠.純白體驗超吸洞夜用3入*(	美容沐浴
TL-1345 龍族立體削皮刀	鍋具.廚具.濾水
(冰)美式咖啡	餐飲消費
【KU.KU. 酷咕鴨】超好眠懶人包巾+3D超透氣嬰兒護頭枕(多款組合任選)	嬰幼兒與孕婦
牛霜降5盎司	食品雜貨
代收-1028 精算師持色細眉筆(三色任選)	美容沐浴
鹹香雞米花義大利麵	冷凍食品
龍口養生紅藜麥	食品雜貨
A-森田藥粧蘆薈舒	美容沐浴
【Schwarzkopf 施華蔻】怡然植萃染髮霜_2入組(限時限搶_買1送1)	美容沐浴
A140D素燒中品盆	其他消費
古早味醃排骨肉(生凍)	生鮮冷藏
DARN TOUGH DT1965 Trail Legs Over-The-Calf Cushion 男登山健行羊毛襪	戶外休閒
聖劍戰姬 - 蒂希雅強化包	小家電專區
寵愛(犬)熟齡犬6KG	寵物
Gt滑飽讀365天序號 * 1	3C電子/配件
小米 2 Port USB 充電器 36W 快充版	3C電子/配件
充氣式太陽能LED燈-Lux柔和黃光PRO(買一送一)	小家電專區
GATSBY 塑型髮腊80g 現貨 蝦皮24h	美容沐浴
726891@飛柔淨屑調理微米淨透洗髮露	美容沐浴
自製拼盤39	餐飲消費
限定6-12活動場使用	其他消費
奶粉袋３０入	嬰幼兒與孕婦
膳*吸管瓶替換吸管-B	嬰幼兒與孕婦
白飯.鍋.麻辣臭豆腐鴨血	生鮮冷藏
統一純喫茶-無糖綠茶 650ml 2021-03-04 e1wr-owpz	生鮮冷藏
台灣本產馬告（山胡椒）	食品雜貨
高山高麗菜１﹧２	食品雜貨
805791@祕魯黑葡萄/KG	其他消費
魚韻日式食堂兌換券	生鮮冷藏
太星電工電腦線一開六插3P15A9尺[OCB61309]	生活百貨
GT-5005黑入式耳麥宇堂	3C電子/配件
白板筆卡水-小  黑  百樂	生活百貨
王牌２１Ｔ６香煙藍	菸/酒
麗芝士起司威化量販包 450g 2021-01-24 f6oe-n3zg	零食點心
舒肥雞肉沙拉	餐飲消費
30 玻璃噴瓶	美容沐浴
社會工作理論	書籍
簡約風・手提電腦包	3C電子/配件
Third Princess' slice of life stickers	其他消費
2021藝術品大賣香組	戶外休閒
家居美容	交通
278447@新建成芝麻蛋黃餅/個	零食點心
冰馥列白大	餐飲消費
代收-BIODERMA貝膚黛瑪 平衡控油比基尼美膚皂100g	美容沐浴
升級12頭 多功能加熱 按摩枕 智能正反轉 汽車家居兩用 腿部 按摩器 肩頸按摩 頸枕	小家電專區
【WHY AND 1/2】棉質萊卡T恤 多色可選 5Y - 10Y(1R2040)	服飾與配件精品
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-06-27 z4vs-vrs7	餐飲消費
●冬瓜仙草	食品雜貨
渲染物語生日卡A	生活百貨
通盈通運 (台灣本地)	交通
圓蓋式化妝瓶30CC	鍋具.廚具.濾水
氣墊小白鞋	服飾與配件精品
可麗露-威士忌巧克力	零食點心
印度咖哩鍋（牛	食品雜貨
家家樟腦油噴霧劑	居家清潔
Baan貝恩寶貝嫩Q組$810	嬰幼兒與孕婦
多汁雞腿鮮肉罐 110g	寵物
_12顆_台南玉井愛文芒果10台斤含運組_7_31前下單-台灣農產嘉年華每單現折50元_免稅	其他消費
榴槤糖           智珗  10/	零食點心
創盛號 0621客訂	其他消費
尊爵家 亞斯桌上型百變書架 台灣製【現貨/免運】H型書架 桌上書架 伸縮書架 書櫃 收納架 置物架 魔術書架 桌面書架	傢俱寢飾
方塊綠奶	餐飲消費
統一科學麵5	泡麵罐頭
波霸奶烏L●	餐飲消費
套餐-麥香魚 Filet-O-Fish Meal 2021-07-31 u1xt-cx7f	餐飲消費
700 慕│微美瞳彩色日拋隱形眼鏡10片裝-慕斯桃1號	美容沐浴
楓康切菜板中	鍋具.廚具.濾水
Aqara網關 智慧家居 - Aqara門窗傳感	其他消費
號碼可攜移轉費-預付卡4G	3C電子/配件
招牌豚肉套餐	餐飲消費
杜老爺曠世奇派巧克力(73g±4g)*4支	冷凍食品
三層醃肉	其他消費
帥女孩水洗牛仔背心/2色	傢俱寢飾
15元汽球	戶外休閒
梅子蕃薯餅300g	餐飲消費
早飲（20）	餐飲消費
02. 香煎蒜香松阪豬	餐飲消費
adidas SUPERNOVA 跑鞋 男 FW0700-UK 8.5(27cm)	服飾與配件精品
【24H出貨 台灣出貨】免釘 免鑽孔 木頭無痕掛勾 無痕掛勾 掛勾 貼片 收納 裝飾 收納架 無痕貼片 貼片 收納貼	生活百貨
LUFTTAT bar s3 stainless steel/wood AP	3C電子/配件
20 惜福	生活百貨
53散裝糖果	季節飾品
HITACHI日立16公升負離子清淨除濕機RD-320HH	大型家電/視聽影音
澎澎香浴乳補充包(鎖水)700g	美容沐浴
青醬蘑菇帕里尼	餐飲消費
缺**PPSU滑蓋杯240ml-迷彩	嬰幼兒與孕婦
東茂御品珍健康油600cc	食品雜貨
瑪宣妮珍珠護髮優格	美容沐浴
瑞米亞美乃滋250ml	食品雜貨
Le DELF 100% reussite (B1) - Livre+CD 書+CD	書籍
L.檸檬梅子	零食點心
私藏Show鮮奶茶	飲料沖泡
卡拉雞漢堡	餐飲消費
韓風彩虹金蔥組4入	季節飾品
【U-mop】桌面垃圾桶 迷你收納桶 造型收納盒 創意 餐桌 臥室 書桌	居家清潔
美國霜降牛5+2盎司	生鮮冷藏
海尼根啤酒鋁罐-330ml	菸/酒
中農綠豆粉絲	食品雜貨
香草拿鐵-熱(M)	餐飲消費
炙燒五花牛肉飯	其他消費
可掛式收納真空壓縮袋	傢俱寢飾
酒香巧克力	餐飲消費
Fluffy black cat - birdtree	3C電子/配件
(曼)痘痘貼.綜合型	美容沐浴
現貨發出抽氣馬達充氣馬達 收納袋 超取110V電動打氣電動抽氣泵吸氣泵抽氣機壓縮袋收納袋附贈三個轉接頭	其他消費
狗狗小玩具 狗狗玩具 寵物玩具 毛絨玩具 狗玩具 發聲玩具 幼犬玩具 寵物娃娃雞腿玩具酪梨小玩具寵物兒童玩具狗狗	寵物
SolidSuit for iPhone 11 Pro - 經典黑 Classic Black(客製)(米奇)	其他消費
Steve Jobs	其他消費
參天沁涼眼藥水12ML	美容沐浴
黛爾斯皇家威士忌250	菸/酒
6-防窺 3M 15.6吋w9 新	生活百貨
韓英-乾貨	其他消費
+梅子$5	餐飲消費
荒野 The Wilds	其他消費
LINE_新春雙人餐	餐飲消費
統一有機家常麵	泡麵罐頭
奶蓋蜜香紅茶	飲料沖泡
慢慢家居-多功能掀蓋儲物鞋櫃穿鞋椅 (W80xD30xH42cm)	居家傢俱
呂山茶花洗	美容沐浴
代收代付 - 掛架/掛籃/小物收納【配件類】21cm德克掛籃 P2-0183 dayneeds	傢俱寢飾
招牌蜜汁肉干	零食點心
【台灣現貨 當天出貨】小米 有品 倍思 旋轉 磁吸 倒數 計時器 碼表 電子 倒數計時 LED 倒數計時器 黑耀	其他消費
2easy單掛勾-木箱貓	寵物
化妝品成分指南	書籍
【IFME】IFME運動機能童鞋(IF30-012622  15~21公分)	嬰幼兒與孕婦
764363@金頂金霸王3號AA 4+2粒小卡	其他消費
魔力的多用途牙刷	嬰幼兒與孕婦
寶齡冰克百疼5片/包/50+10B	食品雜貨
台灣黑豬梅花心	零食點心
日香鹹蛋黃餅*24入	零食點心
季節時蔬(中)-時價	餐飲消費
鬼滅之刃迷你記本-禰豆子	生活百貨
新漢字世代: 亞洲字體設計…	書籍
☆勳寶玩具舖【現貨】TAKARA TOMY 精靈寶可夢 神奇寶貝 MS-30 蔥遊兵 Sirfetch'd	戶外休閒
高山青茶(冷)	飲料沖泡
ＳｕｐｅｒＷｉｎｇ雙耳隔熱餐碗－深藍	鍋具.廚具.濾水
奇麗 水垢去汙霸	居家清潔
站立牙刷	嬰幼兒與孕婦
29337@虎頭柑/KG	生鮮冷藏
手牌145a小型透明筆機	生活百貨
艾比索檸檬蜂花蜜	食品雜貨
寶路乾糧-雞肉奶蛋1.5kg/幼犬專用	寵物
芋見泥	其他消費
真爽包-黑胡椒牛肉	泡麵罐頭
ER-1000 加水站1.0L吸管水壺	生活百貨
合金筷子組(5雙)	鍋具.廚具.濾水
【Panasonic 國際牌】蒸氣電熨斗(NI-M300TA)	小家電專區
小米有品眾籌代購-杜克LI1激光投線角度儀	3C電子/配件
NTBSS: Master Character Pain Early Unlock	生活百貨
S21039黑 - 18	3C電子/配件
代收代付PVC天花板其他安裝費	生活百貨
【半島良品】居家創意多功能壁掛洞洞置物板/3入組(收納 置物版 壁掛 洞洞板)	傢俱寢飾
【BODYLUV】廚房水龍頭濾芯（固定型）(6入)	鍋具.廚具.濾水
MZ WAVE SKYRISE 2慢跑鞋	戶外休閒
436846@軟式安全球2入(低彈力球)	戶外休閒
統一拉麵道－博多豚骨包	泡麵罐頭
票號:202107200108 車號:AGF5028 進場時間：2021/07/20 13:18:01 繳費時間：2021/07/20 17:04:19 停車費	交通
韓泡真空包-團主價	鍋具.廚具.濾水
香草鮮奶茶	飲料沖泡
雙葉花生冰棒5入/盒	冷凍食品
6-任W 皮克敏3   豪華中	嬰幼兒與孕婦
米尺 馬卡龍 TKR	其他消費
單人套票-220	傢俱寢飾
《花木馬》日清元祖雞汁5入袋麵  元祖雞 泡麵 日清 NISSIN 小雞麵 元祖雞麵	泡麵罐頭
白金終局(13)	其他消費
新車: $528000,  減 預收貨款-新車: $20000	交通
花芝珍珠牛奶冰	餐飲消費
旅遊小化妝箱	戶外休閒
古吉拿鐵(冰/G)	餐飲消費
4547315125951[MUJI 無印良品]不鏽鋼托盤/21×17cm	鍋具.廚具.濾水
代收-《限時團購》【IMPACT】怡寶成長型輕量護脊書包- 炫彩菱紋系列-藍 (親子童享)	戶外休閒
3002開量-KT冷水壺(370ml) 特價158元	生活百貨
[台灣在地經濟 在地出貨]3M背膠魔鬼氈 耐寒耐熱 黏扣帶 背膠子母帶 魔鬼粘 魔鬼氈 魔術貼 子母扣 自黏帶	生活百貨
洗澡椅(鋁製/可收合/無凹槽/EVA軟坐背墊/米色)	傢俱寢飾
金萱蛋糕	生鮮冷藏
百搭華夫格衛衣(深灰-L)	其他消費
代收-KAI 日本貝印~修眉刀(BTMG-5F)5支入【D006616】	美容沐浴
虱目魚柳飯	生鮮冷藏
CD卡式瓦斯噴燈	戶外休閒
fujiei USB 3.1 Type-C 公對母延長線100CM	3C電子/配件
大容量按壓蔬果瀝水籃	生活百貨
8666黑-	3C電子/配件
小安安嬰兒潔膚巾加厚 80片/12包	嬰幼兒與孕婦
無印綜合汽水糖	零食點心
(紅)TEL-839_台灣三洋助聽、報號有線電話機	3C電子/配件
(21056)6*4橫格便條紙.100張入.模造黃色	生活百貨
樂迪25 香白1毫克	美容沐浴
草飼紐約克火片	其他消費
卡妮主食貓罐-雞肉200G	寵物
52171083 棉質七分袖針織衫-女 (黑色 - L)	服飾與配件精品
Notorious經典1/2機能氣墊襪 6雙組	服飾與配件精品
日式4格&5格 多功能儲物盒 分格塑料桌面收納盒 分類收納籃 化妝盒	生活百貨
涮樂鍋物兌換券	大型家電/視聽影音
磁吸式廚房剪刀收納套	生活百貨
[吶一口] 【買一送一! 每人限購1組】鮪魚條30克	寵物
檸檬費絲	食品雜貨
雪花牛（套）	餐飲消費
沙拉蛋吐司(火腿)	生鮮冷藏
[大塊文具含發票] SDI 手牌 1113C 訂書機 壹指訂10號省力平針訂書機 超省力	生活百貨
生鮮冷凍品一批(2090552)	其他消費
燕麥薏仁漿30g×12pcs(包)(新升級)	飲料沖泡
可蘭霓49元	生活百貨
大菱柴犬記憶卡中E	3C電子/配件
(新)清香號手工辣椒油240g	食品雜貨
高品質飼料3合1小粒100g	寵物
【Mexsmon 美思夢】可拆洗冬夏兩用中青三折床墊單人加大3.5尺(天空樂園)	傢俱寢飾
掛曆噴印版	生活百貨
S香蒜辣雞	餐飲消費
大尺碼Annabery純情動人蕾絲緹花柔緞睡衣L-2L	服飾與配件精品
生鮮冷凍品一批(2656250)	其他消費
錸德75酒精醇淨液500ml	居家清潔
美則甜心洗手露	美容沐浴
扁鱈	生鮮冷藏
得麗活骨	其他消費
EI四品-吉	其他消費
凱婷 3D時尚眉彩膏 BR-2 6.3g	美容沐浴
『4月獨立小團』41526-美美的碎花風PP褲-紅色花布100	餐飲消費
日清逸品炸雞粉－蒜蓉醬油味	食品雜貨
M.兒童餐	餐飲消費
日製E 四菱斬 孔2.0mm/間距4mm	生活百貨
南投國姓水洗-大（冰）	傢俱寢飾
三合一美容皂	美容沐浴
光泉果汁時刻(鋁箔)-芭芒柳汁300ml(24)	飲料沖泡
Ｌ’Ａｎｇｅ　棉之境９層成人浴巾－粉色	傢俱寢飾
米桶  米箱 收納 罐帶蓋 米 麵粉 乾糧儲物罐 2KG 2000ml 量杯手提密封罐 米菈生活館【M154-1】	鍋具.廚具.濾水
代收代付 - 霓淨思玻尿酸浸潤精華化妝水150ml	美容沐浴
堅果青醬義大利麵	食品雜貨
VICHY薇姿 毛孔緊緻收斂水 200ml	美容沐浴
聖誕裝飾配件包組合~紅綠金色系 (2尺(60cm)樹適用)(不含聖誕樹)(不含燈)	季節飾品
跨領域閱讀 低年級	書籍
北海道雪酪鮮乳捲	飲料沖泡
榛果拿鐵-冰	餐飲消費
澳洲專業無矽靈洗髮精900ml	美容沐浴
雲霧綠茶	飲料沖泡
奇多太空－雞汁	零食點心
Morning．織帶2/3包臀中腰三角內褲	服飾與配件精品
翠玉青茶豆奶	飲料沖泡
1號萬用/妙用QQ箱(CY-332)(6串)	鍋具.廚具.濾水
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-07-16 y0bz-5lgo	餐飲消費
康寶鮮味炒手 500g	食品雜貨
營業外收入	交通
麥香鮮奶	飲料沖泡
代收代付 - 【班尼斯國際名床】~【蜂巢組合櫃】收納櫃/展示櫃/收納架/書架/雜誌櫃/置物櫃(送玻璃	傢俱寢飾
設計物印刷無痛上手  打造品牌識別一致性	書籍
霸啤酒500ml	菸/酒
Biore控油去角質洗面乳100g	美容沐浴
*雀巢咖啡伴侶(奶精)1kg / 12p	飲料沖泡
多芬玫瑰水嫩沐浴乳	美容沐浴
張君雅海苔丸子	泡麵罐頭
金日香辣豆乳(麻油.小)*12入	泡麵罐頭
生鮮冷凍品一批(2171385)	其他消費
原廠公司貨 正品保證 現貨 韓國 RAIP R3 ARGAN 菁粹摩洛哥阿甘精油 100ml 護髮油 免沖洗 韓國正品	3C電子/配件
仙草青茶中杯	餐飲消費
2019 iPad 10.2吋 大理石紋 糖絲質感皮套+9H鋼化玻璃貼(合購價)	3C電子/配件
巧克力軟餅	零食點心
特)18K活頁貼紙收集冊-歡樂呵比獅C	生活百貨
行銷學	書籍
票號:202105080036 車號:AAT7520 進場時間：2021/05/08 11:38:18 繳費時間：2021/05/08 16:17:21 停車費	其他消費
豬雞雙寶丼飯 2021-07-17 e5dh-ccqm	餐飲消費
代收代付 - 【自動-反向傘】晴雨傘-防手濕_滴水不沾手/ 傘 雨傘 自動傘 折疊傘遮陽傘洋傘大傘抗	其他消費
香烤雞腿餐	餐飲消費
悅氏礦泉水 1500ml 2021-06-30 l4ia-ykn7	飲料沖泡
2K瓦楞紙  橘2123(17)	生活百貨
海蜇蝦油浸雞卷	生鮮冷藏
Fang炸鹽酥雞(新莊店)兌換券	餐飲消費
金牌啤酒瓶裝600ml	菸/酒
代收代付 - 糊塗鞋匠 優質鞋材 B22 PU3.5cm增高鞋墊 支撐足弓 內增高 運動鞋 增高墊	其他消費
椰果綠-大	食品雜貨
▲2020改款上市▼山崎35L新式三溫控專業級電烤箱 SK-3580RHS+ (贈3D旋轉輪烤籠)[雙層強化玻璃+庫內照明燈]	居家傢俱
現撈野生魩仔魚(熟凍)(2入特價組)	食品雜貨
【波蕾妮】繽紛內磨毛保暖衣  衛生衣 高領 圓領 家居服 睡衣 內搭 刷毛 發熱  加厚 蓄熱 1/8	服飾與配件精品
3M魔利去污劑重裝瓶500ml	居家清潔
台灣現貨  卡扣式 子母扣無痕掛勾貼	生活百貨
玩具40元	餐飲消費
味全鮮奶酪90g*3入 /12入	生鮮冷藏
對對碰紅包袋-200元-3入[3入]	其他消費
Go! 豐醬雞肉蔬果 德國貓咪主食罐	寵物
爪哇咖哩菲力豬排丼 2021-07-18 oyzq-yuxk	泡麵罐頭
媚比琳FIT ME水光奇蹟粉底液 110	美容沐浴
P龍蝦餐盒	其他消費
控制器	3C電子/配件
開票手續費(轉角那間早午餐輕食)	生活百貨
高露潔 全效清淨薄荷牙膏150g+全效清淨薄荷牙膏40g	美容沐浴
sloggi Motion 無鋼圈運動背心 經典黑-EL	服飾與配件精品
超德用尿墊 大包裝用更久 寵物尿墊 狗狗尿墊 狗尿墊 犬用尿墊 犬尿墊 寵物尿布墊 寵物用品 尿墊 尿布墊	寵物
煉乳胖麻糬(峰蜜)	零食點心
泰山純水 1500ml*3 2021-03-17 d0hh-pw52	飲料沖泡
(透明)保利杯含蓋10入(100)508	鍋具.廚具.濾水
Vegetable	3C電子/配件
練習寫好字‧律詩選(4下)	書籍
foodpanda獨享A餐 2021-06-09 uumj-qndx	餐飲消費
天仁茉香綠茶  100入	飲料沖泡
道家內丹功與現代生命科學	書籍
【妙而舒】妙兒褲 箱購(M/L/XL/XXL)│花王旗艦館	居家清潔
MJ 亮眼珠光眼線筆BK999	美容沐浴
莊園美式 (L)	飲料沖泡
Food panda	餐飲消費
400 慕│微美瞳彩色日拋隱形眼鏡10片裝-經典黑1號	美容沐浴
ADIDAS-男運動鞋款#1388	服飾與配件精品
補票-游泳池入場券	生活百貨
5*喜又美美國專利益生菌	其他消費
代收代付 - 秋冬季薄款寬鬆男士運動褲男加絨厚款直筒衛褲針織大碼休閒長褲子 【快速出貨】	服飾與配件精品
冰糖豆干	生鮮冷藏
紐有機蘋果100	食品雜貨
酥脆雞換三兩腿	餐飲消費
手作之16K方點定頁筆記(牛皮) SN-16459A	生活百貨
泰山羊毫系列(1號)$600	其他消費
52085266004/慢跑系列素色7吋短風褲(M)/ L	服飾與配件精品
12X5mm強力磁鐵(盒裝)	生活百貨
(淨)去屑洗髮乳-男士深層淨�	美容沐浴
香蕉鮮奶	餐飲消費
飛壘口香糖-葡萄*20入	零食點心
[送收納袋] P47 耳罩式藍芽耳機 折疊式藍芽耳機 摺疊式藍芽耳機 頭戴式藍芽耳機 藍牙耳機	3C電子/配件
牛奶果美胸霜	美容沐浴
AI weather TWO	生活百貨
莫爾露-麥香禮盒	食品雜貨
邏輯哲學論叢	書籍
白鐵毛刀	生活百貨
抹茶松子雪球	餐飲消費
【歐德萊生活工坊】買一送一 自動扣2.4米不鏽鋼伸縮曬衣架(曬衣架 晾衣桿 曬衣桿 掛衣桿)	餐飲消費
紅柿腰只皿 312	鍋具.廚具.濾水
富統優質大火腿3kg	生鮮冷藏
草魚頭	生鮮冷藏
古早味花椰菜	生鮮冷藏
黑糖珍珠雪	零食點心
白雪亮透環保洗碗精1000ml	居家清潔
ｓ雞肉焗烤飯	餐飲消費
長頸鹿芽克風 黃	其他消費
柏萊富(貓)無穀全齡[鴨肉+鮭魚+碗豆]6kg	寵物
輕量防水帳單板夾-年紅色 66232-RD	生活百貨
椒香鹽焗雞	餐飲消費
SPSX-104 OUTDOOR 1/2男運動襪-白綠	服飾與配件精品
台灣包種綠茶(L)	飲料沖泡
Rebel撞色連帽外	服飾與配件精品
OPP自黏袋(66)23*31cm(100入)	生活百貨
竹炭真露酒17.2%360ml	菸/酒
韓式爆米花餃	餐飲消費
.紐崔斯田園-成犬2.5KG	寵物
46756015 格紋短袖襯衫-男 (水藍白格 - XXL)	服飾與配件精品
快樂大廚去骨雞腿排組合	鍋具.廚具.濾水
5,500,000Coins(NTD 500)	生活百貨
泰晶殿皇家spa莊園兌換券	其他消費
卡夫帕馬森起司粉	生鮮冷藏
單-特選小羔羊	生鮮冷藏
三花奶精	其他消費
史上最強！聰明收納全圖解【暢銷三版】：1000張彩圖教學！韓國收納女王教你1週1區、4步驟改造空間	書籍
y野澤菜漬-竹內農產	其他消費
鹽滷豆花	生鮮冷藏
防潑水水桶包 (中)	居家清潔
ILIA  溫柔輕吻唇露_擁抱 4.3ml	美容沐浴
Ｘ萬獸探險隊：（8） 最強獵手 灰狼VS鬣狗（附學習單）	書籍
點心麵-大雞汁 88g 21/07/14	泡麵罐頭
infoThink SUBA BOX 六合一環保吸管隨身盒(大地綠)	嬰幼兒與孕婦
草莓拿破崙切片	生鮮冷藏
動物玩具	寵物
醜啤酒(夜市用Pils)	菸/酒
BEKANT tbl tp 160x80 black stained ash veneer AP	3C電子/配件
冰拿鐵 Latte (外)	餐飲消費
GT082-鬆緊百搭簡約寬褲-黑	服飾與配件精品
小宅早起拼盤	餐飲消費
可口可樂 2000ml 2021-07-17 l4ia-cf2c	飲料沖泡
Solone經典極癮唇膏202性感海灘	美容沐浴
MICHAEL KORS TEAGEN 滿版MK LOGO三層手提兩用包.深咖	其他消費
現貨 Baseus倍思  - 白	交通
雙排無痕掛勾 門後掛勾 掛架 掛鉤 衣帽架 掛鉤置物架 12連式掛鉤【台灣現貨滿額免運】關注我們現領折價卷 艾尚好購物	傢俱寢飾
華泰 KK 三釦式 泡泡鏡 復古帽 安全帽鏡片 三扣 泡泡鏡片 防風鏡 抗UV 強化耐磨 凸面鏡片 球型鏡片	交通
單價折扣	交通
贈蔻蘿蘭速效舒敏洗髮精10ml	美容沐浴
票據型網袋-30元	生活百貨
新宏鹿港炒麵線	食品雜貨
冷藏宅配-	餐飲消費
Baan 貝恩 嬰兒防蚊驅蚊貼片	嬰幼兒與孕婦
新北辣榨菜絲	食品雜貨
博物館建築系列L夾(4入)	生活百貨
爺奶酥	餐飲消費
懷念黃金泡菜	生鮮冷藏
完美主義 創意伸縮書架/桌上型/收納架/桌上架(4色)-漂流木	居家傢俱
香草豚肉蛋餅	餐飲消費
超強吸水加大加寬珪藻土矽藻土地墊(粉紅)	生活百貨
好侍胡椒粉	食品雜貨
檸檬香茅綠	生鮮冷藏
伊比利豬梅花排	生鮮冷藏
刷樂時尚潔牙組	美容沐浴
幻星雪藏保溫餐罩47cm -	生活百貨
酒精洗手液	美容沐浴
冰釀陳梅	零食點心
【aziza】小象名片夾(松石綠)	生活百貨
代收代付 - 【善存】游離型葉黃素軟膠囊20mg(60粒/瓶)(萃取自天然 獨特液態膠囊 好吸收高1	食品雜貨
日本Asahipen 水性木製品/多用途著色/補色筆-紅木/香草白	生活百貨
設計你所愛的人生：用設計思考的創造力 建構一個你想要的未來	書籍
老灶水煮瓜子４００ｇ竹鹽茴香味	零食點心
桂花茶	飲料沖泡
地勤機密	戶外休閒
54212014 刷毛圓領衫-女 (麻灰 - XL)	服飾與配件精品
麥茶拿鐵	餐飲消費
友賓葡萄小鳳梨酥460g	零食點心
【單點】夏威夷大比薩 2021-06-22 d3rg-lb9s	餐飲消費
單點-醬炒豬肉片	其他消費
雙層上翻筆袋-深藍/絨耳狗	生活百貨
千輝打火機50入	菸/酒
ARIEL超濃縮洗衣精補	居家清潔
臺灣黃菊花 黃菊花 菊花 台東產 菊花茶 檢驗合格	飲料沖泡
【T2R】正韓空運-真皮復古縫線邊瑪莉珍鞋-增高6公分-黑/咖啡(5985-2139/5985-2140)	服飾與配件精品
舒適集中！撞色蕾絲嬰兒棉無鋼圈內衣組	服飾與配件精品
生鮮冷凍品一批(2908024)	其他消費
NSTYLE紅龍電競專	3C電子/配件
OLYMPUS Tough TG-6 + 原廠 防水殼 PT-059 公司貨 全新 免運 潛水15米 贈品多請看描述	3C電子/配件
【義大利 masters】輕量登山杖 2入特惠組 - 黑	戶外休閒
鐵觀音牧場鮮奶茶 中溫熱	餐飲消費
foodpanda C餐 2021-05-27 wlky-0wa5	餐飲消費
凍春山	生鮮冷藏
Handkerchief Bakery Cat/ Socks	生活百貨
威德清涼果凍*人蔘蜂王乳180g	零食點心
手機座/袋40	戶外休閒
手工裝飾素材	季節飾品
專利防雨機車墊(灰)	交通
質感直紋居家套裝(灰杏-M)	服飾與配件精品
實現夢想的NLP教科書－運用神經語言學 發掘自己的無限可能	書籍
褲夾10入組 多功能塑膠一字型衣裙架 衣架 裙夾 收納架 晾衣架 掛衣架 領帶架 皮帶架 省空間 防滑褲夾【J030-10】	生活百貨
票號:202103210267 車號:6413EU 進場時間：2021/03/21 12:14:31 繳費時間：2021/03/21 13:02:09 停車費	交通
悅氏綠茶－２Ｌ	飲料沖泡
紫戀-乳酪盒<提袋>10入(20)	餐飲消費
柳營農紫地瓜饅頭	生鮮冷藏
精準企劃: 搞懂客戶意圖， 正確定義問題， 十大技巧寫出一次	書籍
寶礦力水得 1460ml 2021-09-12 l4ia-1yom	飲料沖泡
6吋手拍pizza皮	戶外休閒
